"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"15337",0,0.104,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15338",30,0.104,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15339",60,0.103,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15340",90,0.104,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15341",120,0.105,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15342",150,0.106,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15343",180,0.108,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15344",210,0.11,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15345",240,0.112,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15346",270,0.115,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15347",300,0.118,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15348",330,0.122,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15349",360,0.125,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15350",390,0.128,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15351",420,0.132,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15352",450,0.135,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15353",480,0.139,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15354",510,0.142,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15355",540,0.145,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15356",570,0.149,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15357",600,0.151,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15358",630,0.154,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
"15359",660,0.156,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",3,"Smith_et_al"
